Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,393,371,163,164,986.8974960628643,175,174
3600,3600,7199.9,1000,393,382,191,192,11535.38879634235,989,196
3600,7200,10799.9,1000,393,383,0,166,22352.73795410303,1810,0
3600,10800,14399.9,1000,393,380,178,179,33100.14430981325,2571,184
3600,14400,17999.9,1000,393,383,0,184,43469.83425442465,3316,0
3600,18000,21599.9,1000,393,381,0,180,54367.95567929477,4056,0
3600,21600,25199.9,1000,393,389,0,182,63713.81868614995,4800,0
3600,25200,28799.9,1000,393,380,169,170,75864.85333317163,5505,176
3600,28800,32399.9,1000,393,371,182,183,88424.2516195619,6240,187
3600,32400,35999.9,1000,393,382,164,165,96401.91597179731,7011,168
3600,0,3599.9,1100,393,371,139,140,1973.7949921257316,317,141
3600,3600,7199.9,1100,393,382,155,156,12527.508793123101,1146,156
3600,7200,10799.9,1100,393,383,142,143,23304.909569027826,1955,144
3600,10800,14399.9,1100,393,380,149,150,34074.19408914379,2721,149
3600,14400,17999.9,1100,393,383,141,142,44434.59279296125,3459,142
3600,18000,21599.9,1100,393,381,0,140,55339.66011963978,4197,0
3600,21600,25199.9,1100,393,389,0,145,64660.580735986754,4944,0
3600,25200,28799.9,1100,393,380,137,138,76815.02286956039,5646,140
3600,28800,32399.9,1100,393,371,148,149,89411.06791599041,6390,149
3600,32400,35999.9,1100,393,382,130,131,97341.82720378655,7141,129
3600,0,3599.9,1200,393,371,116,117,2960.6924881885993,434,116
3600,3600,7199.9,1200,393,382,126,127,13519.628789903853,1272,125
3600,7200,10799.9,1200,393,383,0,121,24257.08118395262,2078,0
3600,10800,14399.9,1200,393,380,0,118,35048.24386847433,2839,0
3600,14400,17999.9,1200,393,383,0,121,45399.35133149786,3579,0
3600,18000,21599.9,1200,393,381,0,116,56311.364559984795,4312,0
3600,21600,25199.9,1200,393,389,117,118,65607.34278582355,5061,116
3600,25200,28799.9,1200,393,380,0,110,77765.19240594914,5756,0
3600,28800,32399.9,1200,393,371,120,121,90397.88421241893,6512,121
3600,32400,35999.9,1200,393,382,102,103,98281.7384357758,7243,101
3600,0,3599.9,1300,393,371,91,92,3947.589984251458,525,90
3600,3600,7199.9,1300,393,382,100,101,14511.748786684604,1372,99
3600,7200,10799.9,1300,393,383,100,101,25209.252798877416,2178,99
3600,10800,14399.9,1300,393,380,87,88,36022.29364780487,2926,86
3600,14400,17999.9,1300,393,383,88,89,46364.109870034474,3667,87
3600,18000,21599.9,1300,393,381,89,90,57283.069000329815,4401,88
3600,21600,25199.9,1300,393,389,92,93,66554.10483566036,5153,91
3600,25200,28799.9,1300,393,380,0,87,78715.3619423379,5842,0
3600,28800,32399.9,1300,393,371,98,99,91384.70050884725,6610,97
3600,32400,35999.9,1300,393,382,78,79,99221.64966776504,7321,77
3600,0,3599.9,1400,393,371,0,76,4934.487480314317,600,0
3600,3600,7199.9,1400,393,382,0,84,15503.868783465356,1455,0
3600,7200,10799.9,1400,393,383,72,73,26161.424413802215,2250,71
3600,10800,14399.9,1400,393,380,0,66,36996.34342713542,2991,0
3600,14400,17999.9,1400,393,383,71,72,47328.868408571085,3738,70
3600,18000,21599.9,1400,393,381,0,74,58254.77344067483,4474,0
3600,21600,25199.9,1400,393,389,68,69,67500.86688549716,5221,67
