Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,301,285,129,130,999.2235467860265,138,137
3600,3600,7199.9,1000,301,291,140,141,11763.164229159529,760,146
3600,7200,10799.9,1000,301,290,133,134,22784.649037290998,1430,136
3600,10800,14399.9,1000,301,295,4,131,32818.11482521452,1983,6
3600,14400,17999.9,1000,301,290,0,131,44008.57347056042,2575,0
3600,18000,21599.9,1000,301,293,140,141,53923.95885344745,3108,144
3600,21600,25199.9,1000,301,289,141,142,65612.41960478346,3698,143
3600,25200,28799.9,1000,301,295,142,143,74944.19747515253,4280,141
3600,28800,32399.9,1000,301,296,136,137,85426.7297581563,4889,136
3600,32400,35999.9,1000,301,290,0,127,97791.54760700758,5404,0
3600,0,3599.9,1100,301,285,109,110,1998.4470935720517,250,111
3600,3600,7199.9,1100,301,291,118,119,12761.497464593303,880,119
3600,7200,10799.9,1100,301,290,108,109,23747.813571831317,1538,107
3600,10800,14399.9,1100,301,295,0,114,33769.363986085395,2099,0
3600,14400,17999.9,1100,301,290,0,110,44956.7024652334,2684,0
3600,18000,21599.9,1100,301,293,110,111,54905.732072034254,3220,111
3600,21600,25199.9,1100,301,289,105,106,66600.9102319905,3806,107
3600,25200,28799.9,1100,301,295,0,121,75926.60790484468,4400,0
3600,28800,32399.9,1100,301,296,0,109,86371.53714211716,4997,0
3600,32400,35999.9,1100,301,290,98,99,98745.36464526207,5504,99
3600,0,3599.9,1200,301,285,0,93,2997.670640358078,343,0
3600,3600,7199.9,1200,301,291,95,96,13759.830700027078,975,94
3600,7200,10799.9,1200,301,290,87,88,24710.978106371636,1625,86
3600,10800,14399.9,1200,301,295,95,96,34720.61314695627,2197,97
3600,14400,17999.9,1200,301,290,82,83,45904.83145990638,2766,81
3600,18000,21599.9,1200,301,293,96,97,55887.505290621055,3317,96
3600,21600,25199.9,1200,301,289,0,95,67589.40085919757,3900,0
3600,25200,28799.9,1200,301,295,95,96,76909.01833453684,4495,94
3600,28800,32399.9,1200,301,296,0,88,87316.34452607801,5084,0
3600,32400,35999.9,1200,301,290,0,79,99699.18168351657,5583,0
3600,0,3599.9,1300,301,285,70,71,3996.8941871441075,413,69
3600,3600,7199.9,1300,301,291,83,84,14758.163935460849,1058,82
3600,7200,10799.9,1300,301,290,0,66,25674.14264091196,1690,0
3600,10800,14399.9,1300,301,295,81,82,35671.862307827134,2278,80
3600,14400,17999.9,1300,301,290,0,62,46852.96045457936,2827,0
3600,18000,21599.9,1300,301,293,0,71,56869.27850920785,3387,0
3600,21600,25199.9,1300,301,289,69,70,68577.89148640462,3969,68
3600,25200,28799.9,1300,301,295,77,78,77891.42876422899,4572,76
3600,28800,32399.9,1300,301,296,65,66,88261.15191003887,5149,64
3600,32400,35999.9,1300,301,290,0,63,100652.99872177106,5645,0
3600,0,3599.9,1400,301,285,57,58,4996.117733930137,470,56
3600,3600,7199.9,1400,301,291,70,71,15756.497170894618,1128,69
3600,7200,10799.9,1400,301,290,0,54,26637.30717545228,1743,0
3600,10800,14399.9,1400,301,295,55,56,36623.11146869801,2333,54
3600,14400,17999.9,1400,301,290,43,44,47801.08944925235,2870,42
3600,18000,21599.9,1400,301,293,56,57,57851.05172779464,3443,55
3600,21600,25199.9,1400,301,289,56,57,69566.38211361167,4025,55
3600,25200,28799.9,1400,301,295,0,66,78873.83919392114,4637,0
3600,28800,32399.9,1400,301,296,47,48,89205.95929399972,5196,46
3600,32400,35999.9,1400,301,290,48,49,101606.81576002555,5693,47
3600,0,3599.9,1500,301,285,47,48,5995.341280716165,517,46
3600,3600,7199.9,1500,301,291,0,52,16754.830406328387,1179,0
3600,7200,10799.9,1500,301,290,37,38,27600.4717099926,1780,36
3600,10800,14399.9,1500,301,295,38,39,37574.36062956888,2371,37
3600,14400,17999.9,1500,301,290,32,33,48749.21844392533,2902,31
3600,18000,21599.9,1500,301,293,40,41,58832.82494638153,3483,39
3600,21600,25199.9,1500,301,289,39,40,70554.87274081874,4064,38
3600,25200,28799.9,1500,301,295,47,48,79856.2496236133,4684,46
3600,28800,32399.9,1500,301,296,0,32,90150.76667796058,5227,0
3600,32400,35999.9,1500,301,290,35,36,102560.63279828004,5728,34
3600,0,3599.9,1600,301,285,0,32,6994.564827502194,548,0
3600,3600,7199.9,1600,301,291,43,44,17753.16364176216,1222,42
3600,7200,10799.9,1600,301,290,26,27,28563.636244532918,1806,25
3600,10800,14399.9,1600,301,295,27,28,38525.609790439754,2398,26
3600,14400,17999.9,1600,301,290,23,24,49697.34743859831,2925,22
3600,18000,21599.9,1600,301,293,0,29,59814.59816496842,3511,0
3600,21600,25199.9,1600,301,289,30,31,71543.36336802579,4094,29
3600,25200,28799.9,1600,301,295,31,32,80838.66005330546,4715,30
3600,28800,32399.9,1600,301,296,23,24,91095.57406192143,5250,22
3600,32400,35999.9,1600,301,290,30,31,103514.44983653454,5758,29
3600,0,3599.9,1700,301,285,0,26,7993.788374288217,573,0
3600,3600,7199.9,1700,301,291,30,31,18751.49687719593,1252,29
3600,7200,10799.9,1700,301,290,18,19,29526.800779073266,1824,17
3600,10800,14399.9,1700,301,295,20,21,39476.85895131063,2418,19
3600,14400,17999.9,1700,301,290,16,17,50645.476433271295,2941,15
3600,18000,21599.9,1700,301,293,0,19,60796.371383555306,3529,0
3600,21600,25199.9,1700,301,289,21,22,72531.85399523284,4115,20
