Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,409,384,171,172,993.8843248548264,183,182
3600,3600,7199.9,1000,409,398,0,198,11534.881058002285,1042,0
3600,7200,10799.9,1000,409,399,174,175,22298.35632498235,1878,179
3600,10800,14399.9,1000,409,391,0,183,33420.515190095655,2662,0
3600,14400,17999.9,1000,409,401,191,192,43036.9929575898,3417,194
3600,18000,21599.9,1000,409,401,187,188,53681.010745906555,4180,187
3600,21600,25199.9,1000,409,402,184,185,64272.90892746585,4978,187
3600,25200,28799.9,1000,409,393,178,179,76390.11618375801,5709,183
3600,28800,32399.9,1000,409,397,187,188,86012.41608080463,6455,193
3600,32400,35999.9,1000,409,406,0,175,94538.44412003715,7246,0
3600,0,3599.9,1100,409,384,146,147,1987.768649709653,332,148
3600,3600,7199.9,1100,409,398,161,162,12521.602849203593,1205,162
3600,7200,10799.9,1100,409,399,0,151,23248.25302573889,2031,0
3600,10800,14399.9,1100,409,391,0,153,34393.12242702877,2815,0
3600,14400,17999.9,1100,409,401,145,146,44003.37310785813,3564,146
3600,18000,21599.9,1100,409,401,0,153,54661.22703153999,4333,0
3600,21600,25199.9,1100,409,402,145,146,65220.56259498498,5125,146
3600,25200,28799.9,1100,409,393,142,143,77341.86816327131,5854,144
3600,28800,32399.9,1100,409,397,146,147,86982.76430341214,6602,146
3600,32400,35999.9,1100,409,406,148,149,95482.77093014502,7394,147
3600,0,3599.9,1200,409,384,124,125,2981.652974564478,457,124
3600,3600,7199.9,1200,409,398,129,130,13508.324640404899,1334,128
3600,7200,10799.9,1200,409,399,124,125,24198.14972649543,2158,126
3600,10800,14399.9,1200,409,391,0,122,35365.72966396189,2937,0
3600,14400,17999.9,1200,409,401,123,124,44969.75325812647,3687,122
3600,18000,21599.9,1200,409,401,126,127,55641.44331717341,4459,125
3600,21600,25199.9,1200,409,402,116,117,66168.21626250411,5242,116
3600,25200,28799.9,1200,409,393,117,118,78293.62014278462,5972,117
3600,28800,32399.9,1200,409,397,119,120,87953.11252601967,6722,119
3600,32400,35999.9,1200,409,406,113,114,96427.09774025291,7507,112
3600,0,3599.9,1300,409,384,98,99,3975.537299419306,555,97
3600,3600,7199.9,1300,409,398,103,104,14495.046431606204,1437,102
3600,7200,10799.9,1300,409,399,102,103,25148.04642725197,2260,101
3600,10800,14399.9,1300,409,391,0,89,36338.336900895,3025,0
3600,14400,17999.9,1300,409,401,94,95,45936.133408394795,3781,93
3600,18000,21599.9,1300,409,401,97,98,56621.659602806845,4556,96
