Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,95,88,0,45,1029.6131819335135,46,0
3600,3600,7199.9,1000,95,91,38,38,945.2121471128875,40,40
3600,7200,10799.9,1000,95,92,42,42,978.0345413138667,44,44
3600,10800,14399.9,1000,95,92,55,55,1125.469422770313,57,57
3600,14400,17999.9,1000,95,92,44,44,1010.6072631626652,47,47
3600,18000,21599.9,1000,95,91,41,41,984.3902476738104,41,41
3600,21600,25199.9,1000,95,93,2,37,902.4633637781516,39,4
3600,25200,28799.9,1000,95,94,44,44,989.4196740581364,44,44
3600,28800,32399.9,1000,95,93,43,43,987.306332093138,45,45
3600,32400,35999.9,1000,95,88,0,39,916.8545362041328,40,0
3600,0,3599.9,1100,95,88,38,38,1029.6131819335135,38,38
3600,3600,7199.9,1100,95,91,0,33,945.2121471128875,33,0
3600,7200,10799.9,1100,95,92,36,36,978.0345413138667,37,37
3600,10800,14399.9,1100,95,92,48,48,1125.469422770313,49,49
3600,14400,17999.9,1100,95,92,37,37,1010.6072631626652,37,37
3600,18000,21599.9,1100,95,91,32,32,984.3902476738104,32,32
3600,21600,25199.9,1100,95,93,0,34,902.4633637781516,34,0
3600,25200,28799.9,1100,95,94,36,36,989.4196740581364,36,36
3600,28800,32399.9,1100,95,93,38,38,987.306332093138,38,38
3600,32400,35999.9,1100,95,88,31,31,916.8545362041328,31,31
3600,0,3599.9,1200,95,88,32,32,1029.6131819335135,32,32
3600,3600,7199.9,1200,95,91,27,27,945.2121471128875,27,27
3600,7200,10799.9,1200,95,92,28,28,978.0345413138667,28,28
3600,10800,14399.9,1200,95,92,41,41,1125.469422770313,42,42
3600,14400,17999.9,1200,95,92,32,32,1010.6072631626652,32,32
3600,18000,21599.9,1200,95,91,29,29,984.3902476738104,29,29
3600,21600,25199.9,1200,95,93,29,29,902.4633637781516,29,29
3600,25200,28799.9,1200,95,94,30,30,989.4196740581364,30,30
3600,28800,32399.9,1200,95,93,0,31,987.306332093138,31,0
3600,32400,35999.9,1200,95,88,0,26,916.8545362041328,26,0
3600,0,3599.9,1300,95,88,19,19,1029.6131819335135,19,19
3600,3600,7199.9,1300,95,91,21,21,945.2121471128875,21,21
3600,7200,10799.9,1300,95,92,24,24,978.0345413138667,24,24
3600,10800,14399.9,1300,95,92,38,38,1125.469422770313,38,38
3600,14400,17999.9,1300,95,92,26,26,1010.6072631626652,26,26
3600,18000,21599.9,1300,95,91,20,20,984.3902476738104,20,20
3600,21600,25199.9,1300,95,93,25,25,902.4633637781516,25,25
3600,25200,28799.9,1300,95,94,0,25,989.4196740581364,25,0
3600,28800,32399.9,1300,95,93,23,23,987.306332093138,23,23
3600,32400,35999.9,1300,95,88,0,18,916.8545362041328,18,0
3600,0,3599.9,1400,95,88,0,14,1029.6131819335135,14,0
3600,3600,7199.9,1400,95,91,0,15,945.2121471128875,15,0
3600,7200,10799.9,1400,95,92,19,19,978.0345413138667,19,19
3600,10800,14399.9,1400,95,92,32,32,1125.469422770313,32,32
3600,14400,17999.9,1400,95,92,21,21,1010.6072631626652,21,21
3600,18000,21599.9,1400,95,91,0,17,984.3902476738104,17,0
3600,21600,25199.9,1400,95,93,20,20,902.4633637781516,20,20
3600,25200,28799.9,1400,95,94,20,20,989.4196740581364,20,20
3600,28800,32399.9,1400,95,93,20,20,987.306332093138,20,20
3600,32400,35999.9,1400,95,88,13,13,916.8545362041328,13,13
3600,0,3599.9,1500,95,88,11,11,1029.6131819335135,11,11
3600,3600,7199.9,1500,95,91,14,14,945.2121471128875,14,14
3600,7200,10799.9,1500,95,92,13,13,978.0345413138667,13,13
3600,10800,14399.9,1500,95,92,19,19,1125.469422770313,19,19
3600,14400,17999.9,1500,95,92,0,15,1010.6072631626652,15,0
3600,18000,21599.9,1500,95,91,13,13,984.3902476738104,13,13
3600,21600,25199.9,1500,95,93,12,12,902.4633637781516,12,12
