Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,495,468,31,210,982.8514738848783,222,31
3600,3600,7199.9,1000,495,480,17,233,11526.914030160766,1229,16
3600,7200,10799.9,1000,495,480,52,213,22326.1358642184,2222,52
3600,10800,14399.9,1000,495,484,158,236,32459.75364549424,3123,163
3600,14400,17999.9,1000,495,483,122,225,43389.8456247675,4091,122
3600,18000,21599.9,1000,495,484,3,221,53968.60926399022,5037,2
3600,21600,25199.9,1000,495,468,167,219,66622.30339461258,5931,171
3600,25200,28799.9,1000,495,482,136,214,75076.72946176906,6860,140
3600,28800,32399.9,1000,495,499,68,217,82559.28677417063,7711,70
3600,32400,35999.9,1000,495,505,228,233,91779.80394185836,8623,236
3600,0,3599.9,1100,495,468,26,175,1965.7029477697552,399,26
3600,3600,7199.9,1100,495,480,13,194,12512.74600290621,1425,12
3600,7200,10799.9,1100,495,480,45,184,23267.037970821573,2406,45
3600,10800,14399.9,1100,495,484,124,184,33446.624384955256,3309,126
3600,14400,17999.9,1100,495,483,98,181,44363.59364413029,4273,98
3600,18000,21599.9,1100,495,484,3,173,54919.65991168917,5211,2
3600,21600,25199.9,1100,495,468,142,183,67595.26486906673,6117,143
3600,25200,28799.9,1100,495,482,102,167,76019.23135274112,7026,101
3600,28800,32399.9,1100,495,499,60,181,83495.64225563986,7893,59
3600,32400,35999.9,1100,495,505,179,182,92728.91886818681,8805,179
3600,0,3599.9,1200,495,468,20,145,2948.554421654636,544,19
3600,3600,7199.9,1200,495,480,9,160,13498.577975651653,1586,8
3600,7200,10799.9,1200,495,480,32,143,24207.94007742475,2549,32
3600,10800,14399.9,1200,495,484,109,161,34433.495124416266,3470,109
3600,14400,17999.9,1200,495,483,82,148,45337.341663493076,4420,81
3600,18000,21599.9,1200,495,484,3,145,55870.710559388106,5356,2
3600,21600,25199.9,1200,495,468,112,147,68568.22634352087,6265,112
3600,25200,28799.9,1200,495,482,81,131,76961.73324371318,7156,80
3600,28800,32399.9,1200,495,499,47,150,84431.9977371091,8043,46
3600,32400,35999.9,1200,495,505,142,145,93678.03379451524,8950,142
3600,0,3599.9,1300,495,468,17,117,3931.405895539519,660,16
3600,3600,7199.9,1300,495,480,7,125,14484.409948397097,1710,6
3600,7200,10799.9,1300,495,480,23,111,25148.84218402793,2659,22
3600,10800,14399.9,1300,495,484,84,118,35420.36586387723,3587,83
3600,14400,17999.9,1300,495,483,63,117,46311.08968285587,4536,62
3600,18000,21599.9,1300,495,484,2,111,56821.76120708705,5466,1
3600,21600,25199.9,1300,495,468,92,118,69541.187817975,6382,91
3600,25200,28799.9,1300,495,482,65,104,77904.23513468524,7259,64
3600,28800,32399.9,1300,495,499,37,114,85368.35321857833,8156,36
3600,32400,35999.9,1300,495,505,110,112,94627.14872084369,9061,109
3600,0,3599.9,1400,495,468,15,98,4914.257369424404,757,14
3600,3600,7199.9,1400,495,480,5,97,15470.241921142539,1806,4
3600,7200,10799.9,1400,495,480,17,80,26089.744290631104,2738,16
3600,10800,14399.9,1400,495,484,67,97,36407.23660333824,3683,66
3600,14400,17999.9,1400,495,483,53,96,47284.83770221866,4631,52
3600,18000,21599.9,1400,495,484,1,82,57772.81185478599,5547,0
3600,21600,25199.9,1400,495,468,58,79,70514.14929242915,6460,57
3600,25200,28799.9,1400,495,482,46,76,78846.73702565729,7334,45
3600,28800,32399.9,1400,495,499,18,69,86304.70870004756,8224,17
3600,32400,35999.9,1400,495,505,88,90,95576.26364717213,9150,87
3600,0,3599.9,1500,495,468,14,77,5897.108843309278,833,13
3600,3600,7199.9,1500,495,480,4,69,16456.073893887984,1874,3
3600,7200,10799.9,1500,495,480,9,52,27030.646397234283,2789,8
3600,10800,14399.9,1500,495,484,47,67,37394.107342799245,3749,46
3600,14400,17999.9,1500,495,483,36,71,48258.58572158145,4701,35
3600,18000,21599.9,1500,495,484,1,56,58723.86250248494,5602,0
3600,21600,25199.9,1500,495,468,46,64,71487.1107668833,6523,45
3600,25200,28799.9,1500,495,482,34,54,79789.23891662934,7387,33
3600,28800,32399.9,1500,495,499,14,53,87241.06418151679,8276,13
3600,32400,35999.9,1500,495,505,73,74,96525.37857350058,9223,72
3600,0,3599.9,1600,495,468,9,57,6879.9603171941535,889,8
3600,3600,7199.9,1600,495,480,1,49,17441.905866633424,1922,0
3600,7200,10799.9,1600,495,480,8,37,27971.548503837457,2825,7
3600,10800,14399.9,1600,495,484,33,49,38380.978082260255,3797,32
3600,14400,17999.9,1600,495,483,25,49,49232.33374094424,4749,24
3600,18000,21599.9,1600,495,484,1,46,59674.91315018388,5647,0
3600,21600,25199.9,1600,495,468,32,44,72460.07224133743,6566,31
3600,25200,28799.9,1600,495,482,28,44,80731.7408076014,7430,27
3600,28800,32399.9,1600,495,499,9,39,88177.41966298602,8314,8
3600,32400,35999.9,1600,495,505,55,56,97474.49349982903,9278,54
3600,0,3599.9,1700,495,468,8,42,7862.811791079028,930,7
3600,3600,7199.9,1700,495,480,0,34,18427.737839378875,1955,0
3600,7200,10799.9,1700,495,480,5,27,28912.450610440636,2851,4
3600,10800,14399.9,1700,495,484,21,33,39367.848821721265,3829,20
3600,14400,17999.9,1700,495,483,19,37,50206.08176030703,4785,18
3600,18000,21599.9,1700,495,484,1,28,60625.963797882825,5674,0
3600,21600,25199.9,1700,495,468,23,34,73433.03371579162,6599,22
3600,25200,28799.9,1700,495,482,16,25,81674.24269857346,7454,15
3600,28800,32399.9,1700,495,499,7,28,89113.77514445526,8341,6
3600,32400,35999.9,1700,495,505,37,38,98423.60842615747,9315,36
3600,0,3599.9,1800,495,468,6,30,8845.663264963903,959,5
3600,3600,7199.9,1800,495,480,0,24,19413.569812124322,1978,0
3600,7200,10799.9,1800,495,480,3,18,29853.352717043814,2868,2
3600,10800,14399.9,1800,495,484,13,20,40354.71956118227,3848,12
3600,14400,17999.9,1800,495,483,9,17,51179.82977966982,4801,8
3600,18000,21599.9,1800,495,484,1,16,61577.014445581764,5689,0
