Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,206,192,0,88,976.316437724198,91,0
3600,3600,7199.9,1000,206,204,105,105,1050.6660153525083,110,110
3600,7200,10799.9,1000,206,199,89,89,962.5198653821603,91,91
3600,10800,14399.9,1000,206,201,0,97,1012.6618152013375,101,0
3600,14400,17999.9,1000,206,200,84,84,895.0009448912367,86,86
3600,18000,21599.9,1000,206,202,0,100,968.1246606111606,102,0
3600,21600,25199.9,1000,206,198,91,91,949.2061459001745,93,93
3600,25200,28799.9,1000,206,201,89,89,962.308746437912,92,92
3600,28800,32399.9,1000,206,197,90,90,938.5265283164537,90,90
3600,32400,35999.9,1000,206,199,89,89,958.5145538890638,92,92
3600,0,3599.9,1100,206,192,77,77,976.316437724198,77,77
3600,3600,7199.9,1100,206,204,0,91,1050.6660153525083,93,0
3600,7200,10799.9,1100,206,199,69,69,962.5198653821603,69,69
3600,10800,14399.9,1100,206,201,0,85,1012.6618152013375,85,0
3600,14400,17999.9,1100,206,200,69,69,895.0009448912367,69,69
3600,18000,21599.9,1100,206,202,0,78,968.1246606111606,79,0
3600,21600,25199.9,1100,206,198,74,74,949.2061459001745,74,74
3600,25200,28799.9,1100,206,201,78,78,962.308746437912,78,78
3600,28800,32399.9,1100,206,197,77,77,938.5265283164537,77,77
3600,32400,35999.9,1100,206,199,71,71,958.5145538890638,72,72
3600,0,3599.9,1200,206,192,0,64,976.316437724198,64,0
3600,3600,7199.9,1200,206,204,75,75,1050.6660153525083,76,76
3600,7200,10799.9,1200,206,199,60,60,962.5198653821603,60,60
3600,10800,14399.9,1200,206,201,73,73,1012.6618152013375,73,73
3600,14400,17999.9,1200,206,200,53,53,895.0009448912367,53,53
3600,18000,21599.9,1200,206,202,62,62,968.1246606111606,62,62
3600,21600,25199.9,1200,206,198,58,58,949.2061459001745,58,58
3600,25200,28799.9,1200,206,201,0,66,962.308746437912,66,0
3600,28800,32399.9,1200,206,197,51,51,938.5265283164537,51,51
3600,32400,35999.9,1200,206,199,61,61,958.5145538890638,61,61
3600,0,3599.9,1300,206,192,47,47,976.316437724198,47,47
3600,3600,7199.9,1300,206,204,65,65,1050.6660153525083,65,65
3600,7200,10799.9,1300,206,199,47,47,962.5198653821603,47,47
3600,10800,14399.9,1300,206,201,0,59,1012.6618152013375,59,0
3600,14400,17999.9,1300,206,200,40,40,895.0009448912367,40,40
3600,18000,21599.9,1300,206,202,50,50,968.1246606111606,50,50
