Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,463,201,36000,490
3600,3600,7199.9,1000,494,233,36000,490
3600,7200,10799.9,1000,478,210,36000,490
3600,10800,14399.9,1000,478,5,36000,490
3600,14400,17999.9,1000,480,222,36000,490
3600,18000,21599.9,1000,480,0,36000,490
3600,21600,25199.9,1000,465,216,36000,490
3600,25200,28799.9,1000,478,216,36000,490
3600,28800,32399.9,1000,493,216,36000,490
3600,32400,35999.9,1000,496,211,36000,490
3600,0,3599.9,1500,463,74,36000,490
3600,3600,7199.9,1500,494,74,36000,490
3600,7200,10799.9,1500,478,52,36000,490
3600,10800,14399.9,1500,478,69,36000,490
3600,14400,17999.9,1500,480,0,36000,490
3600,18000,21599.9,1500,480,54,36000,490
3600,21600,25199.9,1500,465,0,36000,490
3600,25200,28799.9,1500,478,0,36000,490
3600,28800,32399.9,1500,493,51,36000,490
3600,32400,35999.9,1500,496,67,36000,490
3600,0,3599.9,2000,463,13,36000,490
3600,3600,7199.9,2000,494,8,36000,490
3600,7200,10799.9,2000,478,6,36000,490
3600,10800,14399.9,2000,478,0,36000,490
3600,14400,17999.9,2000,480,2,36000,490
3600,18000,21599.9,2000,480,6,36000,490
3600,21600,25199.9,2000,465,6,36000,490
3600,25200,28799.9,2000,478,6,36000,490
3600,28800,32399.9,2000,493,9,36000,490
3600,32400,35999.9,2000,496,6,36000,490
