Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,186,85,36000,199
3600,3600,7199.9,1000,193,101,36000,199
3600,7200,10799.9,1000,194,83,36000,199
3600,10800,14399.9,1000,196,99,36000,199
3600,14400,17999.9,1000,193,75,36000,199
3600,18000,21599.9,1000,195,0,36000,199
3600,21600,25199.9,1000,190,91,36000,199
3600,25200,28799.9,1000,194,84,36000,199
3600,28800,32399.9,1000,192,88,36000,199
3600,32400,35999.9,1000,193,76,36000,199
3600,0,3599.9,1500,186,0,36000,199
3600,3600,7199.9,1500,193,33,36000,199
3600,7200,10799.9,1500,194,0,36000,199
3600,10800,14399.9,1500,196,29,36000,199
3600,14400,17999.9,1500,193,23,36000,199
3600,18000,21599.9,1500,195,25,36000,199
3600,21600,25199.9,1500,190,27,36000,199
3600,25200,28799.9,1500,194,23,36000,199
3600,28800,32399.9,1500,192,23,36000,199
3600,32400,35999.9,1500,193,15,36000,199
3600,0,3599.9,2000,186,0,36000,199
3600,3600,7199.9,2000,193,0,36000,199
3600,7200,10799.9,2000,194,2,36000,199
3600,10800,14399.9,2000,196,2,36000,199
3600,14400,17999.9,2000,193,0,36000,199
3600,18000,21599.9,2000,195,0,36000,199
3600,21600,25199.9,2000,190,2,36000,199
3600,25200,28799.9,2000,194,2,36000,199
3600,28800,32399.9,2000,192,1,36000,199
3600,32400,35999.9,2000,193,0,36000,199
