Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,373,165,36000,395
3600,3600,7199.9,1000,384,192,36000,395
3600,7200,10799.9,1000,385,0,36000,395
3600,10800,14399.9,1000,383,180,36000,395
3600,14400,17999.9,1000,384,181,36000,395
3600,18000,21599.9,1000,383,177,36000,395
3600,21600,25199.9,1000,394,181,36000,395
3600,25200,28799.9,1000,385,0,36000,395
3600,28800,32399.9,1000,369,187,36000,395
3600,32400,35999.9,1000,391,0,36000,395
3600,0,3599.9,1500,373,0,36000,395
3600,3600,7199.9,1500,384,0,36000,395
3600,7200,10799.9,1500,385,48,36000,395
3600,10800,14399.9,1500,383,0,36000,395
3600,14400,17999.9,1500,384,0,36000,395
3600,18000,21599.9,1500,383,55,36000,395
3600,21600,25199.9,1500,394,43,36000,395
3600,25200,28799.9,1500,385,50,36000,395
3600,28800,32399.9,1500,369,0,36000,395
3600,32400,35999.9,1500,391,34,36000,395
3600,0,3599.9,2000,373,12,36000,395
3600,3600,7199.9,2000,384,6,36000,395
3600,7200,10799.9,2000,385,0,36000,395
3600,10800,14399.9,2000,383,8,36000,395
3600,14400,17999.9,2000,384,4,36000,395
3600,18000,21599.9,2000,383,0,36000,395
3600,21600,25199.9,2000,394,1,36000,395
3600,25200,28799.9,2000,385,7,36000,395
3600,28800,32399.9,2000,369,7,36000,395
3600,32400,35999.9,2000,391,0,36000,395
