Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,282,127,36000,296
3600,3600,7199.9,1000,286,134,36000,296
3600,7200,10799.9,1000,285,0,36000,296
3600,10800,14399.9,1000,293,126,36000,296
3600,14400,17999.9,1000,288,0,36000,296
3600,18000,21599.9,1000,285,0,36000,296
3600,21600,25199.9,1000,288,141,36000,296
3600,25200,28799.9,1000,293,136,36000,296
3600,28800,32399.9,1000,295,0,36000,296
3600,32400,35999.9,1000,294,0,36000,296
3600,0,3599.9,1500,282,0,36000,296
3600,3600,7199.9,1500,286,50,36000,296
3600,7200,10799.9,1500,285,39,36000,296
3600,10800,14399.9,1500,293,0,36000,296
3600,14400,17999.9,1500,288,29,36000,296
3600,18000,21599.9,1500,285,0,36000,296
3600,21600,25199.9,1500,288,37,36000,296
3600,25200,28799.9,1500,293,43,36000,296
3600,28800,32399.9,1500,295,34,36000,296
3600,32400,35999.9,1500,294,0,36000,296
3600,0,3599.9,2000,282,9,36000,296
3600,3600,7199.9,2000,286,0,36000,296
3600,7200,10799.9,2000,285,3,36000,296
3600,10800,14399.9,2000,293,4,36000,296
3600,14400,17999.9,2000,288,6,36000,296
3600,18000,21599.9,2000,285,5,36000,296
3600,21600,25199.9,2000,288,2,36000,296
3600,25200,28799.9,2000,293,0,36000,296
3600,28800,32399.9,2000,295,1,36000,296
3600,32400,35999.9,2000,294,5,36000,296
