Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,88,0,36000,95
3600,3600,7199.9,1000,91,38,36000,95
3600,7200,10799.9,1000,92,42,36000,95
3600,10800,14399.9,1000,92,55,36000,95
3600,14400,17999.9,1000,92,44,36000,95
3600,18000,21599.9,1000,91,41,36000,95
3600,21600,25199.9,1000,93,2,36000,95
3600,25200,28799.9,1000,94,44,36000,95
3600,28800,32399.9,1000,93,43,36000,95
3600,32400,35999.9,1000,88,0,36000,95
3600,0,3599.9,1500,88,11,36000,95
3600,3600,7199.9,1500,91,14,36000,95
3600,7200,10799.9,1500,92,13,36000,95
3600,10800,14399.9,1500,92,19,36000,95
3600,14400,17999.9,1500,92,0,36000,95
3600,18000,21599.9,1500,91,13,36000,95
3600,21600,25199.9,1500,93,12,36000,95
3600,25200,28799.9,1500,94,0,36000,95
3600,28800,32399.9,1500,93,0,36000,95
3600,32400,35999.9,1500,88,9,36000,95
3600,0,3599.9,2000,88,1,36000,95
3600,3600,7199.9,2000,91,2,36000,95
3600,7200,10799.9,2000,92,2,36000,95
3600,10800,14399.9,2000,92,2,36000,95
3600,14400,17999.9,2000,92,0,36000,95
3600,18000,21599.9,2000,91,0,36000,95
3600,21600,25199.9,2000,93,2,36000,95
3600,25200,28799.9,2000,94,0,36000,95
3600,28800,32399.9,2000,93,2,36000,95
3600,32400,35999.9,2000,88,1,36000,95
