Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,178,82,36000,191
3600,3600,7199.9,1000,187,97,36000,191
3600,7200,10799.9,1000,187,86,36000,191
3600,10800,14399.9,1000,188,82,36000,191
3600,14400,17999.9,1000,184,81,36000,191
3600,18000,21599.9,1000,185,84,36000,191
3600,21600,25199.9,1000,182,89,36000,191
3600,25200,28799.9,1000,191,0,36000,191
3600,28800,32399.9,1000,183,0,36000,191
3600,32400,35999.9,1000,184,73,36000,191
3600,0,3599.9,1500,178,26,36000,191
3600,3600,7199.9,1500,187,0,36000,191
3600,7200,10799.9,1500,187,0,36000,191
3600,10800,14399.9,1500,188,24,36000,191
3600,14400,17999.9,1500,184,25,36000,191
3600,18000,21599.9,1500,185,22,36000,191
3600,21600,25199.9,1500,182,0,36000,191
3600,25200,28799.9,1500,191,26,36000,191
3600,28800,32399.9,1500,183,0,36000,191
3600,32400,35999.9,1500,184,0,36000,191
3600,0,3599.9,2000,178,3,36000,191
3600,3600,7199.9,2000,187,4,36000,191
3600,7200,10799.9,2000,187,0,36000,191
3600,10800,14399.9,2000,188,2,36000,191
3600,14400,17999.9,2000,184,0,36000,191
3600,18000,21599.9,2000,185,2,36000,191
3600,21600,25199.9,2000,182,2,36000,191
3600,25200,28799.9,2000,191,0,36000,191
3600,28800,32399.9,2000,183,3,36000,191
3600,32400,35999.9,2000,184,0,36000,191
