Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,468,0,36000,495
3600,3600,7199.9,1000,480,232,36000,495
3600,7200,10799.9,1000,480,212,36000,495
3600,10800,14399.9,1000,484,0,36000,495
3600,14400,17999.9,1000,483,224,36000,495
3600,18000,21599.9,1000,484,220,36000,495
3600,21600,25199.9,1000,468,218,36000,495
3600,25200,28799.9,1000,482,213,36000,495
3600,28800,32399.9,1000,499,216,36000,495
3600,32400,35999.9,1000,505,0,36000,495
3600,0,3599.9,1500,468,76,36000,495
3600,3600,7199.9,1500,480,0,36000,495
3600,7200,10799.9,1500,480,51,36000,495
3600,10800,14399.9,1500,484,0,36000,495
3600,14400,17999.9,1500,483,70,36000,495
3600,18000,21599.9,1500,484,55,36000,495
3600,21600,25199.9,1500,468,0,36000,495
3600,25200,28799.9,1500,482,53,36000,495
3600,28800,32399.9,1500,499,52,36000,495
3600,32400,35999.9,1500,505,73,36000,495
3600,0,3599.9,2000,468,0,36000,495
3600,3600,7199.9,2000,480,8,36000,495
3600,7200,10799.9,2000,480,6,36000,495
3600,10800,14399.9,2000,484,0,36000,495
3600,14400,17999.9,2000,483,2,36000,495
3600,18000,21599.9,2000,484,0,36000,495
3600,21600,25199.9,2000,468,8,36000,495
3600,25200,28799.9,2000,482,0,36000,495
3600,28800,32399.9,2000,499,0,36000,495
3600,32400,35999.9,2000,505,9,36000,495
