Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,191,179,46,82,987.5544433781645,85,47
3600,3600,7199.9,1000,191,188,32,98,1037.8916011238255,102,34
3600,7200,10799.9,1000,191,187,80,84,984.0175166219631,86,82
3600,10800,14399.9,1000,191,185,84,86,976.2613198685563,88,86
3600,14400,17999.9,1000,191,187,61,78,915.7411554759294,81,63
3600,18000,21599.9,1000,191,190,39,85,914.7306998705194,87,40
3600,21600,25199.9,1000,191,185,51,92,976.2148487455784,94,53
3600,25200,28799.9,1000,191,192,20,83,940.05421978127,83,20
3600,28800,32399.9,1000,191,186,3,90,977.4783839609905,93,3
3600,32400,35999.9,1000,191,183,57,73,894.6766115455587,74,57
3600,0,3599.9,1100,191,179,38,71,987.5544433781645,71,38
3600,3600,7199.9,1100,191,188,25,85,1037.8916011238255,87,27
3600,7200,10799.9,1100,191,187,64,67,984.0175166219631,67,64
3600,10800,14399.9,1100,191,185,71,71,976.2613198685563,71,71
3600,14400,17999.9,1100,191,187,50,67,915.7411554759294,67,50
3600,18000,21599.9,1100,191,190,31,66,914.7306998705194,67,31
3600,21600,25199.9,1100,191,185,42,77,976.2148487455784,77,42
3600,25200,28799.9,1100,191,192,14,71,940.05421978127,71,14
3600,28800,32399.9,1100,191,186,3,79,977.4783839609905,79,3
3600,32400,35999.9,1100,191,183,46,59,894.6766115455587,59,46
3600,0,3599.9,1200,191,179,36,60,987.5544433781645,60,36
3600,3600,7199.9,1200,191,188,21,69,1037.8916011238255,70,22
3600,7200,10799.9,1200,191,187,56,59,984.0175166219631,59,56
3600,10800,14399.9,1200,191,185,61,61,976.2613198685563,61,61
3600,14400,17999.9,1200,191,187,41,56,915.7411554759294,56,41
3600,18000,21599.9,1200,191,190,25,53,914.7306998705194,53,25
3600,21600,25199.9,1200,191,185,32,57,976.2148487455784,57,32
3600,25200,28799.9,1200,191,192,10,58,940.05421978127,58,10
3600,28800,32399.9,1200,191,186,3,62,977.4783839609905,62,3
3600,32400,35999.9,1200,191,183,33,42,894.6766115455587,42,33
3600,0,3599.9,1300,191,179,26,42,987.5544433781645,42,26
3600,3600,7199.9,1300,191,188,19,61,1037.8916011238255,61,19
3600,7200,10799.9,1300,191,187,42,45,984.0175166219631,45,42
3600,10800,14399.9,1300,191,185,51,51,976.2613198685563,51,51
3600,14400,17999.9,1300,191,187,29,41,915.7411554759294,41,29
3600,18000,21599.9,1300,191,190,20,44,914.7306998705194,44,20
3600,21600,25199.9,1300,191,185,22,42,976.2148487455784,42,22
3600,25200,28799.9,1300,191,192,8,45,940.05421978127,45,8
3600,28800,32399.9,1300,191,186,2,46,977.4783839609905,46,2
3600,32400,35999.9,1300,191,183,27,34,894.6766115455587,34,27
3600,0,3599.9,1400,191,179,18,30,987.5544433781645,30,18
3600,3600,7199.9,1400,191,188,18,50,1037.8916011238255,50,18
3600,7200,10799.9,1400,191,187,37,38,984.0175166219631,38,37
3600,10800,14399.9,1400,191,185,41,41,976.2613198685563,41,41
3600,14400,17999.9,1400,191,187,23,34,915.7411554759294,34,23
