Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,384,171,36000,409
3600,3600,7199.9,1000,398,0,36000,409
3600,7200,10799.9,1000,399,174,36000,409
3600,10800,14399.9,1000,391,0,36000,409
3600,14400,17999.9,1000,401,191,36000,409
3600,18000,21599.9,1000,401,187,36000,409
3600,21600,25199.9,1000,402,184,36000,409
3600,25200,28799.9,1000,393,178,36000,409
3600,28800,32399.9,1000,397,187,36000,409
3600,32400,35999.9,1000,406,0,36000,409
3600,0,3599.9,1500,384,66,36000,409
3600,3600,7199.9,1500,398,59,36000,409
3600,7200,10799.9,1500,399,50,36000,409
3600,10800,14399.9,1500,391,48,36000,409
3600,14400,17999.9,1500,401,49,36000,409
3600,18000,21599.9,1500,401,61,36000,409
3600,21600,25199.9,1500,402,46,36000,409
3600,25200,28799.9,1500,393,47,36000,409
3600,28800,32399.9,1500,397,59,36000,409
3600,32400,35999.9,1500,406,0,36000,409
3600,0,3599.9,2000,384,0,36000,409
3600,3600,7199.9,2000,398,6,36000,409
3600,7200,10799.9,2000,399,6,36000,409
3600,10800,14399.9,2000,391,8,36000,409
3600,14400,17999.9,2000,401,4,36000,409
3600,18000,21599.9,2000,401,0,36000,409
3600,21600,25199.9,2000,402,0,36000,409
3600,25200,28799.9,2000,393,6,36000,409
3600,28800,32399.9,2000,397,7,36000,409
3600,32400,35999.9,2000,406,7,36000,409
