Timeslot,Begin,End,ID,Distance
3600,0,3599.9,0,32829.05029017717
3600,0,3599.9,1,29098.176844285903
3600,0,3599.9,2,28001.211639436406
3600,0,3599.9,3,33394.01050393142
3600,0,3599.9,4,25634.572922969484
3600,0,3599.9,5,25015.758514605237
3600,0,3599.9,6,31109.016294465328
3600,0,3599.9,8,30803.603606398283
3600,0,3599.9,7,26145.07494276732
3600,0,3599.9,9,23123.473882015966
3600,0,3599.9,10,32247.151923358455
3600,0,3599.9,11,26927.437273937205
3600,0,3599.9,12,28841.280281318872
3600,0,3599.9,13,34525.00210247611
3600,0,3599.9,14,33927.82099767248
3600,0,3599.9,15,25933.559794061315
3600,0,3599.9,16,28460.767788725174
3600,0,3599.9,17,20750.757774643935
3600,0,3599.9,18,27640.609155223003
3600,0,3599.9,19,30463.28673694469
3600,3600,7199.9,0,30040.222091718915
3600,3600,7199.9,1,30231.21926010726
3600,3600,7199.9,10,30345.534869583673
3600,3600,7199.9,11,29413.91573735162
3600,3600,7199.9,13,28186.242790779546
3600,3600,7199.9,12,31890.457001904422
3600,3600,7199.9,14,28274.234970559162
3600,3600,7199.9,15,29793.478605092303
3600,3600,7199.9,16,27001.715918695758
3600,3600,7199.9,18,26271.457972854347
3600,3600,7199.9,17,33939.58356126118
3600,3600,7199.9,19,37323.654950726595
3600,3600,7199.9,2,30079.53460664561
3600,3600,7199.9,3,33937.16739704405
3600,3600,7199.9,4,37413.83207089029
3600,3600,7199.9,5,28205.324662548275
3600,3600,7199.9,6,32633.3189372787
3600,3600,7199.9,7,30282.38903782504
3600,3600,7199.9,8,34326.76691431303
3600,3600,7199.9,9,28927.185377768656
3600,7200,10799.9,0,36041.35784964176
3600,7200,10799.9,1,33285.128780219406
3600,7200,10799.9,10,37782.03514060751
3600,7200,10799.9,12,35909.35097233413
3600,7200,10799.9,11,35988.93356374684
3600,7200,10799.9,13,36188.27479644479
3600,7200,10799.9,14,36581.87867407214
3600,7200,10799.9,15,33490.690465656386
3600,7200,10799.9,16,32223.868574415923
3600,7200,10799.9,18,31595.07895155989
3600,7200,10799.9,17,35111.327577662196
3600,7200,10799.9,19,35738.080673142955
3600,7200,10799.9,2,35259.613282480925
3600,7200,10799.9,3,37893.39333766745
3600,7200,10799.9,4,35923.32838201742
3600,7200,10799.9,5,30103.76974050331
3600,7200,10799.9,7,31410.81111958552
3600,7200,10799.9,8,34965.1489308269
3600,7200,10799.9,6,34873.45733176596
3600,7200,10799.9,9,33855.966345110595
3600,10800,14399.9,0,35587.06824439093
3600,10800,14399.9,1,34244.715721179244
3600,10800,14399.9,10,37777.71758792113
3600,10800,14399.9,11,35515.349794809496
3600,10800,14399.9,12,36008.588533220274
3600,10800,14399.9,13,41025.58625811314
3600,10800,14399.9,14,37785.82998380291
3600,10800,14399.9,15,33057.976542953766
3600,10800,14399.9,16,34222.63517201172
3600,10800,14399.9,17,35098.038602024375
3600,10800,14399.9,18,36618.16880551726
3600,10800,14399.9,19,39320.85563402798
3600,10800,14399.9,2,36712.69533989654
3600,10800,14399.9,3,35966.181370218204
3600,10800,14399.9,4,37892.417917339386
3600,10800,14399.9,5,33743.066633649825
3600,10800,14399.9,6,37708.85187428273
3600,10800,14399.9,7,34057.338683981034
3600,10800,14399.9,8,33720.33934341319
3600,10800,14399.9,9,33787.50777455548
3600,14400,17999.9,0,30287.727785670137
3600,14400,17999.9,1,24972.310624798363
3600,14400,17999.9,10,9717.376286727991
3600,14400,17999.9,11,32559.145266044037
3600,14400,17999.9,12,16990.048665449383
3600,14400,17999.9,13,22940.44689431667
3600,14400,17999.9,14,22316.2034360165
3600,14400,17999.9,15,28697.950092385672
3600,14400,17999.9,16,19402.964258655313
3600,14400,17999.9,17,16268.926371330464
3600,14400,17999.9,18,22157.419745086358
3600,14400,17999.9,19,27267.598459162156
3600,14400,17999.9,2,14155.267764133996
3600,14400,17999.9,3,17805.15866117214
3600,14400,17999.9,4,15849.357390540128
3600,14400,17999.9,5,16587.61811732708
3600,14400,17999.9,6,27188.11286700985
3600,14400,17999.9,7,14875.723191797862
3600,14400,17999.9,8,17672.71116348937
3600,14400,17999.9,9,24480.871894551878
3600,18000,21599.9,0,35793.682824697105
3600,18000,21599.9,1,33853.24739628509
3600,18000,21599.9,10,37353.00248179968
3600,18000,21599.9,11,33678.86574012582
3600,18000,21599.9,12,36223.670506496484
3600,18000,21599.9,13,36754.13966172007
3600,18000,21599.9,14,33086.126393468534
3600,18000,21599.9,15,32275.898355042853
3600,18000,21599.9,16,33896.01314609925
3600,18000,21599.9,17,30045.00100610098
3600,18000,21599.9,18,33051.2957499133
3600,18000,21599.9,19,32929.267473571854
3600,18000,21599.9,2,32840.01787824915
3600,18000,21599.9,3,31610.739731776543
3600,18000,21599.9,4,31102.833463072042
3600,18000,21599.9,5,31536.030023203184
3600,18000,21599.9,6,33801.51296985938
3600,18000,21599.9,7,31632.959425413697
3600,18000,21599.9,8,30348.57174034593
3600,18000,21599.9,9,26787.76426545155
3600,21600,25199.9,0,37089.2380416264
3600,21600,25199.9,1,35518.285016997586
3600,21600,25199.9,10,34087.0635325264
3600,21600,25199.9,11,31561.54348291645
3600,21600,25199.9,12,33979.45595471349
3600,21600,25199.9,13,34300.662559055425
3600,21600,25199.9,14,33963.45699006894
3600,21600,25199.9,15,31729.864443543633
3600,21600,25199.9,16,32362.2697918519
3600,21600,25199.9,17,31582.447800110174
3600,21600,25199.9,18,35390.50477173364
3600,21600,25199.9,19,37799.93011791786
3600,21600,25199.9,2,31453.342650662482
3600,21600,25199.9,3,39677.59241357742
3600,21600,25199.9,4,37405.306408940254
3600,21600,25199.9,5,33011.52353859135
3600,21600,25199.9,6,35529.46119500853
3600,21600,25199.9,7,31609.91110925315
3600,21600,25199.9,8,33334.972838590176
3600,21600,25199.9,9,31348.52322111732
3600,25200,28799.9,0,30962.814807817223
3600,25200,28799.9,1,33960.98847117158
3600,25200,28799.9,10,33823.74699302151
3600,25200,28799.9,11,34884.06542211144
3600,25200,28799.9,12,29576.941559028037
3600,25200,28799.9,13,31884.7178731809
3600,25200,28799.9,14,30797.33273689017
3600,25200,28799.9,15,30342.655030687805
3600,25200,28799.9,16,25856.49828641266
3600,25200,28799.9,17,29233.856980881934
3600,25200,28799.9,18,28898.81297037187
3600,25200,28799.9,19,39101.82189437022
3600,25200,28799.9,2,34551.30470225174
3600,25200,28799.9,3,34499.914617301576
3600,25200,28799.9,4,33574.92553128643
3600,25200,28799.9,5,28893.243218133684
3600,25200,28799.9,6,38003.07224399704
3600,25200,28799.9,7,28696.82502496074
3600,25200,28799.9,8,31220.594501715645
3600,25200,28799.9,9,30698.32119972903
3600,28800,32399.9,0,30396.16676804725
3600,28800,32399.9,1,30669.375842413723
3600,28800,32399.9,10,30812.271376169854
3600,28800,32399.9,11,29407.907635880772
3600,28800,32399.9,12,33520.22308665329
3600,28800,32399.9,13,34046.884017805125
3600,28800,32399.9,14,31225.736662955445
3600,28800,32399.9,15,31846.269668900193
3600,28800,32399.9,16,31026.03968578379
3600,28800,32399.9,17,32949.26434177184
3600,28800,32399.9,18,32944.251477039594
3600,28800,32399.9,19,34541.03218430556
3600,28800,32399.9,2,32854.8672895418
3600,28800,32399.9,3,30076.628931943193
3600,28800,32399.9,4,34080.861645078214
3600,28800,32399.9,5,25934.424391661396
3600,28800,32399.9,6,36599.7672084861
3600,28800,32399.9,7,27037.522711189653
3600,28800,32399.9,8,30658.252386007778
3600,28800,32399.9,9,31420.603987215152
3600,32400,35999.9,0,38615.24807838186
3600,32400,35999.9,1,34389.129137578246
3600,32400,35999.9,10,35772.96516878462
3600,32400,35999.9,11,37781.02515480898
3600,32400,35999.9,12,34418.20284506197
3600,32400,35999.9,13,35903.99477820333
3600,32400,35999.9,14,34878.429857844436
3600,32400,35999.9,15,34775.880795424935
3600,32400,35999.9,16,33691.51230833191
3600,32400,35999.9,17,35326.57430183193
3600,32400,35999.9,18,34557.4417129862
3600,32400,35999.9,19,37897.642140758995
3600,32400,35999.9,2,34338.728578550035
3600,32400,35999.9,3,37046.98155371824
3600,32400,35999.9,4,34015.8456342335
