Timeslot,Begin,End,Distance,Total node,Node per round,Node filter by PoD,Node paticipate POD,Distance average,Total coin,Coin earning
3600,0,3599.9,1000,99,92,44,46,1013.5718009920097,47,45
3600,3600,7199.9,1000,99,95,38,39,938.7574479055505,41,40
3600,7200,10799.9,1000,99,97,1,44,1009.5029365188255,47,1
3600,10800,14399.9,1000,99,97,33,56,1084.5592476976876,58,34
3600,14400,17999.9,1000,99,96,29,47,997.8518681246279,49,29
3600,18000,21599.9,1000,99,97,35,35,907.8007616174356,35,35
3600,21600,25199.9,1000,99,95,30,44,1000.1286814124852,46,31
3600,25200,28799.9,1000,99,98,26,52,1033.0486349005766,52,26
3600,28800,32399.9,1000,99,97,13,36,873.7228458717636,38,14
3600,32400,35999.9,1000,99,95,37,38,917.4833086426327,39,38
3600,0,3599.9,1100,99,92,37,39,1013.5718009920097,39,37
3600,3600,7199.9,1100,99,95,35,35,938.7574479055505,35,35
3600,7200,10799.9,1100,99,97,1,38,1009.5029365188255,40,1
3600,10800,14399.9,1100,99,97,30,50,1084.5592476976876,50,30
3600,14400,17999.9,1100,99,96,22,36,997.8518681246279,36,22
3600,18000,21599.9,1100,99,97,27,27,907.8007616174356,27,27
3600,21600,25199.9,1100,99,95,29,42,1000.1286814124852,42,29
3600,25200,28799.9,1100,99,98,19,42,1033.0486349005766,42,19
3600,28800,32399.9,1100,99,97,11,32,873.7228458717636,32,11
3600,32400,35999.9,1100,99,95,29,30,917.4833086426327,30,29
3600,0,3599.9,1200,99,92,31,33,1013.5718009920097,33,31
3600,3600,7199.9,1200,99,95,29,29,938.7574479055505,29,29
3600,7200,10799.9,1200,99,97,1,30,1009.5029365188255,31,1
3600,10800,14399.9,1200,99,97,26,44,1084.5592476976876,44,26
3600,14400,17999.9,1200,99,96,20,32,997.8518681246279,32,20
3600,18000,21599.9,1200,99,97,24,24,907.8007616174356,24,24
3600,21600,25199.9,1200,99,95,25,35,1000.1286814124852,35,25
3600,25200,28799.9,1200,99,98,17,37,1033.0486349005766,37,17
3600,28800,32399.9,1200,99,97,8,24,873.7228458717636,24,8
3600,32400,35999.9,1200,99,95,25,26,917.4833086426327,26,25
3600,0,3599.9,1300,99,92,21,21,1013.5718009920097,21,21
3600,3600,7199.9,1300,99,95,23,23,938.7574479055505,23,23
3600,7200,10799.9,1300,99,97,1,26,1009.5029365188255,26,1
3600,10800,14399.9,1300,99,97,24,39,1084.5592476976876,39,24
3600,14400,17999.9,1300,99,96,15,25,997.8518681246279,25,15
3600,18000,21599.9,1300,99,97,18,18,907.8007616174356,18,18
3600,21600,25199.9,1300,99,95,22,30,1000.1286814124852,30,22
3600,25200,28799.9,1300,99,98,13,27,1033.0486349005766,27,13
3600,28800,32399.9,1300,99,97,8,19,873.7228458717636,19,8
3600,32400,35999.9,1300,99,95,20,21,917.4833086426327,21,20
3600,0,3599.9,1400,99,92,15,15,1013.5718009920097,15,15
3600,3600,7199.9,1400,99,95,16,16,938.7574479055505,16,16
3600,7200,10799.9,1400,99,97,1,20,1009.5029365188255,20,1
3600,10800,14399.9,1400,99,97,19,33,1084.5592476976876,33,19
3600,14400,17999.9,1400,99,96,11,20,997.8518681246279,20,11
3600,18000,21599.9,1400,99,97,14,14,907.8007616174356,14,14
3600,21600,25199.9,1400,99,95,17,24,1000.1286814124852,24,17
3600,25200,28799.9,1400,99,98,11,21,1033.0486349005766,21,11
3600,28800,32399.9,1400,99,97,7,15,873.7228458717636,15,7
3600,32400,35999.9,1400,99,95,15,16,917.4833086426327,16,15
3600,0,3599.9,1500,99,92,12,12,1013.5718009920097,12,12
3600,3600,7199.9,1500,99,95,14,14,938.7574479055505,14,14
3600,7200,10799.9,1500,99,97,1,15,1009.5029365188255,15,1
3600,10800,14399.9,1500,99,97,12,19,1084.5592476976876,19,12
3600,14400,17999.9,1500,99,96,7,14,997.8518681246279,14,7
3600,18000,21599.9,1500,99,97,10,10,907.8007616174356,10,10
3600,21600,25199.9,1500,99,95,9,14,1000.1286814124852,14,9
3600,25200,28799.9,1500,99,98,8,14,1033.0486349005766,14,8
3600,28800,32399.9,1500,99,97,4,12,873.7228458717636,12,4
3600,32400,35999.9,1500,99,95,12,12,917.4833086426327,12,12
3600,0,3599.9,1600,99,92,4,4,1013.5718009920097,4,4
3600,3600,7199.9,1600,99,95,9,9,938.7574479055505,9,9
3600,7200,10799.9,1600,99,97,1,9,1009.5029365188255,9,1
3600,10800,14399.9,1600,99,97,9,15,1084.5592476976876,15,9
3600,14400,17999.9,1600,99,96,6,11,997.8518681246279,11,6
3600,18000,21599.9,1600,99,97,7,7,907.8007616174356,7,7
3600,21600,25199.9,1600,99,95,3,6,1000.1286814124852,6,3
3600,25200,28799.9,1600,99,98,5,11,1033.0486349005766,11,5
3600,28800,32399.9,1600,99,97,3,9,873.7228458717636,9,3
3600,32400,35999.9,1600,99,95,11,11,917.4833086426327,11,11
3600,0,3599.9,1700,99,92,4,4,1013.5718009920097,4,4
3600,3600,7199.9,1700,99,95,7,7,938.7574479055505,7,7
3600,7200,10799.9,1700,99,97,0,7,1009.5029365188255,7,0
3600,10800,14399.9,1700,99,97,8,9,1084.5592476976876,9,8
3600,14400,17999.9,1700,99,96,3,8,997.8518681246279,8,3
3600,18000,21599.9,1700,99,97,6,6,907.8007616174356,6,6
3600,21600,25199.9,1700,99,95,3,5,1000.1286814124852,5,3
3600,25200,28799.9,1700,99,98,2,8,1033.0486349005766,8,2
3600,28800,32399.9,1700,99,97,2,6,873.7228458717636,6,2
3600,32400,35999.9,1700,99,95,8,8,917.4833086426327,8,8
3600,0,3599.9,1800,99,92,3,3,1013.5718009920097,3,3
3600,3600,7199.9,1800,99,95,4,4,938.7574479055505,4,4
3600,7200,10799.9,1800,99,97,0,6,1009.5029365188255,6,0
3600,10800,14399.9,1800,99,97,4,5,1084.5592476976876,5,4
3600,14400,17999.9,1800,99,96,0,4,997.8518681246279,4,0
3600,18000,21599.9,1800,99,97,4,4,907.8007616174356,4,4
3600,21600,25199.9,1800,99,95,2,3,1000.1286814124852,3,2
3600,25200,28799.9,1800,99,98,1,4,1033.0486349005766,4,1
3600,28800,32399.9,1800,99,97,1,3,873.7228458717636,3,1
3600,32400,35999.9,1800,99,95,5,5,917.4833086426327,5,5
3600,0,3599.9,1900,99,92,3,3,1013.5718009920097,3,3
3600,3600,7199.9,1900,99,95,2,2,938.7574479055505,2,2
3600,7200,10799.9,1900,99,97,0,3,1009.5029365188255,3,0
3600,10800,14399.9,1900,99,97,2,3,1084.5592476976876,3,2
3600,14400,17999.9,1900,99,96,0,2,997.8518681246279,2,0
3600,18000,21599.9,1900,99,97,0,0,907.8007616174356,0,0
3600,21600,25199.9,1900,99,95,1,2,1000.1286814124852,2,1
3600,25200,28799.9,1900,99,98,1,3,1033.0486349005766,3,1
3600,28800,32399.9,1900,99,97,1,3,873.7228458717636,3,1
3600,32400,35999.9,1900,99,95,3,3,917.4833086426327,3,3
3600,0,3599.9,2000,99,92,1,1,1013.5718009920097,1,1
3600,3600,7199.9,2000,99,95,2,2,938.7574479055505,2,2
3600,7200,10799.9,2000,99,97,0,3,1009.5029365188255,3,0
