Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,97,0,36000,106
3600,3600,7199.9,1000,102,42,36000,106
3600,7200,10799.9,1000,106,3,36000,106
3600,10800,14399.9,1000,105,52,36000,106
3600,14400,17999.9,1000,103,0,36000,106
3600,18000,21599.9,1000,103,37,36000,106
3600,21600,25199.9,1000,103,54,36000,106
3600,25200,28799.9,1000,106,0,36000,106
3600,28800,32399.9,1000,101,42,36000,106
3600,32400,35999.9,1000,105,47,36000,106
3600,0,3599.9,1500,97,0,36000,106
3600,3600,7199.9,1500,102,0,36000,106
3600,7200,10799.9,1500,106,19,36000,106
3600,10800,14399.9,1500,105,15,36000,106
3600,14400,17999.9,1500,103,20,36000,106
3600,18000,21599.9,1500,103,8,36000,106
3600,21600,25199.9,1500,103,17,36000,106
3600,25200,28799.9,1500,106,14,36000,106
3600,28800,32399.9,1500,101,11,36000,106
3600,32400,35999.9,1500,105,0,36000,106
3600,0,3599.9,2000,97,1,36000,106
3600,3600,7199.9,2000,102,2,36000,106
3600,7200,10799.9,2000,106,3,36000,106
3600,10800,14399.9,2000,105,2,36000,106
3600,14400,17999.9,2000,103,2,36000,106
3600,18000,21599.9,2000,103,0,36000,106
3600,21600,25199.9,2000,103,1,36000,106
3600,25200,28799.9,2000,106,3,36000,106
3600,28800,32399.9,2000,101,0,36000,106
3600,32400,35999.9,2000,105,1,36000,106
